nlev,variant,blocking,schedule,target,block_bytes,vector_width,mu,delta,delta_numa,delta_max,mu_delta,mu_delta_numa,l1_ratio,beta,alpha,gamma,P_NUMA,T
90,1,0,omp_for,cpu_scalar,64,1,1.375000,0.250000,0.386250,68197.550020,0.343750,0.531094,0.000000,1.0000,0.0120,1.8000,4,81920
90,1,0,omp_for,cpu_avx512,64,8,11.000000,1.090874,1.718132,495981.636399,11.999609,18.899453,0.000000,1.0000,0.0120,1.8000,4,10240
90,1,0,omp_for,gpu_warp32,128,32,22.000000,1.680753,2.643835,247701.952486,36.976562,58.164375,0.000000,1.0000,0.0120,1.8000,4,2560
90,2,0,omp_for,gpu_warp32,128,32,22.000000,1.680753,2.643835,247701.952486,36.976562,58.164375,0.000000,1.0000,0.0120,1.8000,4,2560
90,2,0,omp_for,cpu_avx512,64,8,11.000000,1.090874,1.718132,495981.636399,11.999609,18.899453,0.000000,1.0000,0.0120,1.8000,4,10240
90,2,0,omp_for,gpu_scalar,128,1,0.687500,0.125000,0.193125,17042.775020,0.085938,0.132773,0.000000,1.0000,0.0120,1.8000,4,81920
90,1,0,omp_for,gpu_scalar,128,1,0.687500,0.125000,0.193125,17042.775020,0.085938,0.132773,0.000000,1.0000,0.0120,1.8000,4,81920
90,2,0,omp_for,cpu_scalar,64,1,1.375000,0.250000,0.386250,68197.550020,0.343750,0.531094,0.000000,1.0000,0.0120,1.8000,4,81920
90,3,0,omp_for,cpu_scalar,64,1,5.875000,10.460758,10.478120,15.328516,61.456956,61.558953,0.000000,1.0000,0.0120,1.8000,4,81920
90,3,0,omp_for,gpu_warp32,128,32,174.000000,90.107678,90.136392,263.984995,15678.735938,15683.732188,0.000000,1.0000,0.0120,1.8000,4,2560
90,4,0,omp_for,cpu_scalar,64,1,5.875000,10.460758,10.478120,15.328516,61.456956,61.558953,0.000000,1.0000,0.0120,1.8000,4,81920
90,4,0,omp_for,gpu_warp32,128,32,174.000000,90.107678,90.136392,263.984995,15678.735938,15683.732188,0.000000,1.0000,0.0120,1.8000,4,2560
90,4,0,omp_for,cpu_avx512,64,8,47.000000,46.301446,46.333358,126.865708,2176.167969,2177.667813,0.000000,1.0000,0.0120,1.8000,4,10240
90,4,0,omp_for,gpu_scalar,128,1,5.437500,5.456172,5.464542,7.802181,29.667934,29.713449,0.000000,1.0000,0.0120,1.8000,4,81920
90,3,0,omp_for,cpu_avx512,64,8,47.000000,46.301446,46.333358,126.865708,2176.167969,2177.667813,0.000000,1.0000,0.0120,1.8000,4,10240
90,3,0,omp_for,gpu_scalar,128,1,5.437500,5.456172,5.464542,7.802181,29.667934,29.713449,0.000000,1.0000,0.0120,1.8000,4,81920
90,0,128,omp_for,cpu_avx512,64,8,11.000000,57.824964,57.961314,832.906712,636.074609,637.574453,0.218750,1.0000,0.0120,1.8000,4,10240
90,0,128,omp_for,gpu_warp32,128,32,22.000000,115.148935,115.376037,503.537713,2533.276562,2538.272813,0.218750,1.0000,0.0120,1.8000,4,2560
90,0,128,omp_for,gpu_scalar,128,1,0.687500,4.025469,4.059844,30.651406,2.767510,2.791143,0.218750,1.0000,0.0120,1.8000,4,81920
90,0,8,omp_for,cpu_scalar,64,1,1.375000,8.096934,8.165684,14.794316,11.133284,11.227815,0.013672,1.0000,0.0120,1.8000,4,81920
90,0,8,omp_for,cpu_avx512,64,8,11.000000,58.159482,58.295831,107.049467,639.754297,641.254141,0.013672,1.0000,0.0120,1.8000,4,10240
90,0,16,omp_for,cpu_scalar,64,1,1.375000,8.093867,8.162617,21.426133,11.129067,11.223599,0.027344,1.0000,0.0120,1.8000,4,81920
90,0,8,omp_for,gpu_scalar,128,1,1.062500,4.048031,4.055409,6.992122,4.301033,4.308872,0.013672,1.0000,0.0120,1.8000,4,81920
90,0,16,omp_for,gpu_scalar,128,1,0.687500,4.046934,4.081309,7.394316,2.782267,2.805900,0.027344,1.0000,0.0120,1.8000,4,81920
90,0,16,omp_for,cpu_avx512,64,8,11.000000,58.137180,58.273530,155.280859,639.508984,641.008828,0.027344,1.0000,0.0120,1.8000,4,10240
90,0,32,omp_for,cpu_avx512,64,8,11.000000,58.092578,58.228928,252.016371,639.018359,640.518203,0.054688,1.0000,0.0120,1.8000,4,10240
90,0,64,omp_for,gpu_warp32,128,32,22.000000,115.460298,115.687401,310.562713,2540.126563,2545.122812,0.109375,1.0000,0.0120,1.8000,4,2560
90,0,64,omp_for,cpu_avx512,64,8,11.000000,58.003374,58.139723,445.623757,638.037109,639.536953,0.109375,1.0000,0.0120,1.8000,4,10240
90,0,64,omp_for,gpu_scalar,128,1,0.687500,4.037734,4.072109,17.352266,2.775942,2.799575,0.109375,1.0000,0.0120,1.8000,4,81920
90,0,32,omp_for,gpu_warp32,128,32,22.000000,115.684162,115.911264,214.347940,2545.051563,2550.047813,0.054688,1.0000,0.0120,1.8000,4,2560
90,0,64,omp_for,cpu_scalar,64,1,1.375000,8.075469,8.144219,61.348281,11.103770,11.198301,0.109375,1.0000,0.0120,1.8000,4,81920
90,0,32,omp_for,cpu_scalar,64,1,1.375000,8.087734,8.156484,34.727266,11.120635,11.215166,0.054688,1.0000,0.0120,1.8000,4,81920
90,0,32,omp_for,gpu_scalar,128,1,0.687500,4.043867,4.078242,10.707383,2.780159,2.803792,0.054688,1.0000,0.0120,1.8000,4,81920
90,0,128,omp_for,cpu_scalar,64,1,1.375000,8.050937,8.119687,114.599687,11.070039,11.164570,0.218750,1.0000,0.0120,1.8000,4,81920
