layout,schedule,SB,N,B,mu,delta,mu_delta
row_major,naive,0,16384,8,1.124939,2431.820293,2735.649404
row_major,tiled,8,16384,8,1.124924,2879.449278,3239.160753
row_major,tiled,16,16384,8,1.124939,2910.904652,3274.590066
row_major,tiled,32,16384,8,1.124939,2925.910850,3291.471123
row_major,tiled,64,16384,8,1.124939,2931.918848,3298.229754
row_major,tiled,128,16384,8,1.124939,2931.942901,3298.256812
row_major,blk_aligned,8,16384,8,1.124924,2879.449278,3239.160753
row_major,blk_aligned,16,16384,8,1.124939,2910.904652,3274.590066
row_major,blk_aligned,32,16384,8,1.124939,2925.910850,3291.471123
row_major,blk_aligned,64,16384,8,1.124939,2931.918848,3298.229754
row_major,blk_aligned,128,16384,8,1.124939,2931.942901,3298.256812
blocked,blk_aligned,8,16384,8,1.124924,193.078079,217.198108
blocked,blk_aligned,16,16384,8,1.124939,98.503555,110.810487
blocked,blk_aligned,32,16384,8,1.124939,53.374323,60.042855
blocked,blk_aligned,64,16384,8,1.124939,35.118052,39.505665
blocked,blk_aligned,128,16384,8,1.124939,34.595069,38.917342
blocked,naive,8,16384,8,1.124939,1536.312485,1728.257776
blocked,naive,16,16384,8,1.124939,1536.750286,1728.750276
blocked,naive,32,16384,8,1.124939,1537.626633,1729.736113
blocked,naive,64,16384,8,1.124939,1539.382263,1731.711090
blocked,naive,128,16384,8,1.124939,1542.905248,1735.674232
