nlev,variant,blocking,tile_x,tile_y,schedule,target,block_bytes,vector_width,mu,delta,delta_numa,delta_max,mu_delta,mu_delta_numa,l1_ratio,beta,alpha,gamma,P_NUMA,T
90,3,0,0,0,omp_for,cpu_scalar,64,1,1.000000,11.249875,3.234339,11.249875,11.249875,3.234339,0.000000,0.6000,0.4000,0.0500,4,6225920
90,3,0,0,0,omp_for,gpu_scalar,128,1,1.000000,5.624944,1.617172,5.624944,5.624944,1.617172,0.000000,0.6000,0.4000,0.0500,4,6225920
90,4,0,0,0,omp_for,cpu_avx512,64,8,8.000000,50.613576,14.551404,129.369042,404.908604,116.411229,0.000000,0.6000,0.4000,0.0500,4,778240
90,3,0,0,0,omp_for,gpu_warp32,128,32,32.000000,92.766771,26.670451,267.080232,2968.536678,853.454432,0.000000,0.6000,0.4000,0.0500,4,194560
90,4,0,0,0,omp_for,gpu_scalar,128,1,1.000000,5.624944,1.617172,5.624944,5.624944,1.617172,0.000000,0.6000,0.4000,0.0500,4,6225920
90,1,0,0,0,omp_for,cpu_avx512,64,8,1.000000,1.000000,0.862500,1.000000,1.000000,0.862500,0.000000,0.6000,0.4000,0.0500,4,778240
90,2,0,0,0,omp_for,cpu_scalar,64,1,0.125000,0.125000,0.107813,0.125000,0.015625,0.013477,0.000000,0.6000,0.4000,0.0500,4,6225920
90,1,0,0,0,omp_for,gpu_scalar,128,1,0.062500,0.062500,0.053906,0.062500,0.003906,0.003369,0.000000,0.6000,0.4000,0.0500,4,6225920
90,3,0,0,0,omp_for,cpu_avx512,64,8,8.000000,50.613576,14.551404,129.369042,404.908604,116.411229,0.000000,0.6000,0.4000,0.0500,4,778240
90,2,0,0,0,omp_for,gpu_scalar,128,1,0.062500,0.062500,0.053906,0.062500,0.003906,0.003369,0.000000,0.6000,0.4000,0.0500,4,6225920
90,1,0,0,0,omp_for,cpu_scalar,64,1,0.125000,0.125000,0.107813,0.125000,0.015625,0.013477,0.000000,0.6000,0.4000,0.0500,4,6225920
90,4,0,0,0,omp_for,gpu_warp32,128,32,32.000000,92.766771,26.670451,267.080232,2968.536678,853.454432,0.000000,0.6000,0.4000,0.0500,4,194560
90,2,0,0,0,omp_for,cpu_avx512,64,8,1.000000,1.000000,0.862500,1.000000,1.000000,0.862500,0.000000,0.6000,0.4000,0.0500,4,778240
90,4,0,0,0,omp_for,cpu_scalar,64,1,1.000000,11.249875,3.234339,11.249875,11.249875,3.234339,0.000000,0.6000,0.4000,0.0500,4,6225920
90,2,0,0,0,omp_for,gpu_warp32,128,32,2.000000,1.499805,1.293582,2.499414,2.999609,2.587163,0.000000,0.6000,0.4000,0.0500,4,194560
90,1,0,0,0,omp_for,gpu_warp32,128,32,2.000000,1.499805,1.293582,2.499414,2.999609,2.587163,0.000000,0.6000,0.4000,0.0500,4,194560
90,0,8,0,0,omp_for,cpu_scalar,64,1,0.125000,11.248914,3.234063,11.248914,1.406114,0.404258,0.003906,0.6000,0.4000,0.0500,4,6225920
90,0,32,0,0,omp_for,cpu_scalar,64,1,0.125000,11.245654,3.233126,11.245654,1.405707,0.404141,0.015625,0.6000,0.4000,0.0500,4,6225920
90,0,8,0,0,omp_for,gpu_warp32,128,32,4.000000,112.456445,32.331228,247.403711,449.825781,129.324912,0.003906,0.6000,0.4000,0.0500,4,194560
90,0,32,0,0,omp_for,cpu_avx512,64,8,1.000000,89.965234,25.865005,89.965234,89.965234,25.865005,0.015625,0.6000,0.4000,0.0500,4,778240
90,0,8,0,0,omp_for,gpu_scalar,128,1,0.125000,5.624463,1.617033,5.624463,0.703058,0.202129,0.003906,0.6000,0.4000,0.0500,4,6225920
90,0,32,0,0,omp_for,gpu_warp32,128,32,2.000000,179.430273,51.586204,180.429883,358.860547,103.172407,0.015625,0.6000,0.4000,0.0500,4,194560
90,0,64,0,0,omp_for,cpu_scalar,64,1,0.125000,11.241309,3.231876,11.241309,1.405164,0.403985,0.031250,0.6000,0.4000,0.0500,4,6225920
90,0,32,0,0,omp_for,gpu_scalar,128,1,0.062500,5.622827,1.616563,5.622827,0.351427,0.101035,0.015625,0.6000,0.4000,0.0500,4,6225920
90,0,128,0,0,omp_for,gpu_warp32,128,32,2.000000,179.221680,51.526233,180.221289,358.443359,103.052466,0.062500,0.6000,0.4000,0.0500,4,194560
90,0,64,0,0,omp_for,gpu_warp32,128,32,2.000000,179.360742,51.566213,180.360352,358.721484,103.132427,0.031250,0.6000,0.4000,0.0500,4,194560
90,0,128,0,0,omp_for,cpu_scalar,64,1,0.125000,11.232617,3.229377,11.232617,1.404077,0.403672,0.062500,0.6000,0.4000,0.0500,4,6225920
90,0,16,0,0,omp_for,cpu_scalar,64,1,0.125000,11.247827,3.233750,11.247827,1.405978,0.404219,0.007812,0.6000,0.4000,0.0500,4,6225920
90,0,8,0,0,omp_for,cpu_avx512,64,8,1.000000,89.991309,25.872501,89.991309,89.991309,25.872501,0.003906,0.6000,0.4000,0.0500,4,778240
90,0,16,0,0,omp_for,gpu_warp32,128,32,2.000000,134.947656,38.797451,224.912500,269.895312,77.594902,0.007812,0.6000,0.4000,0.0500,4,194560
90,0,128,0,0,omp_for,cpu_avx512,64,8,1.000000,89.860937,25.835020,89.860937,89.860937,25.835020,0.062500,0.6000,0.4000,0.0500,4,778240
90,0,64,0,0,omp_for,cpu_avx512,64,8,1.000000,89.930469,25.855010,89.930469,89.930469,25.855010,0.031250,0.6000,0.4000,0.0500,4,778240
90,0,64,0,0,omp_for,gpu_scalar,128,1,0.062500,5.620654,1.615938,5.620654,0.351291,0.100996,0.031250,0.6000,0.4000,0.0500,4,6225920
90,0,128,0,0,omp_for,gpu_scalar,128,1,0.062500,5.616309,1.614689,5.616309,0.351019,0.100918,0.062500,0.6000,0.4000,0.0500,4,6225920
90,0,16,0,0,omp_for,gpu_scalar,128,1,0.062500,5.623914,1.616875,5.623914,0.351495,0.101055,0.007812,0.6000,0.4000,0.0500,4,6225920
90,0,16,0,0,omp_for,cpu_avx512,64,8,1.000000,89.982617,25.870002,89.982617,89.982617,25.870002,0.007812,0.6000,0.4000,0.0500,4,778240
